1, Bachelors, Never-married
107, 10th, Never-married
108, 11th, Never-married
109, HS-grad, Never-married
110, HS-grad, Married-civ-spouse
111, Bachelors, Never-married
112, Prof-school, Married-civ-spouse
113, HS-grad, Married-civ-spouse
114, Some-college, Married-civ-spouse
115, HS-grad, Never-married
116, 9th, Married-civ-spouse
117, Some-college, Married-civ-spouse
118, Assoc-voc, Married-civ-spouse
119, Some-college, Married-civ-spouse
120, HS-grad, Never-married
121, Some-college, Never-married
122, Bachelors, Married-civ-spouse
123, Bachelors, Never-married
124, Bachelors, Married-civ-spouse
125, Some-college, Never-married
126, Bachelors, Married-civ-spouse
127, Some-college, Never-married
128, Assoc-acdm, Married-civ-spouse
129, HS-grad, Married-civ-spouse
130, Some-college, Divorced
131, Assoc-acdm, Never-married
132, HS-grad, Never-married
133, HS-grad, Married-civ-spouse
134, Bachelors, Married-civ-spouse
135, Assoc-acdm, Divorced
136, Masters, Married-civ-spouse
137, HS-grad, Married-civ-spouse
138, Assoc-voc, Married-civ-spouse
139, Some-college, Never-married
140, Some-college, Married-civ-spouse
141, HS-grad, Married-civ-spouse
142, Some-college, Never-married
143, Some-college, Never-married
144, Assoc-voc, Never-married
145, Some-college, Never-married
146, HS-grad, Never-married
147, Some-college, Married-civ-spouse
148, HS-grad, Widowed
149, 11th, Married-civ-spouse
150, Some-college, Divorced
151, Some-college, Divorced
152, HS-grad, Never-married
153, Bachelors, Never-married
154, HS-grad, Never-married
155, HS-grad, Divorced
156, HS-grad, Married-civ-spouse
157, Bachelors, Never-married
158, Some-college, Separated
159, HS-grad, Divorced
160, Bachelors, Separated
161, 1st-4th, Divorced
162, HS-grad, Never-married
163, Masters, Divorced
164, HS-grad, Never-married
165, Masters, Married-civ-spouse
166, Some-college, Divorced
167, Assoc-acdm, Never-married
168, Masters, Widowed
169, 11th, Never-married
170, Assoc-voc, Widowed
171, HS-grad, Never-married
172, HS-grad, Married-civ-spouse
173, Some-college, Married-civ-spouse
174, Bachelors, Never-married
175, Bachelors, Married-civ-spouse
176, HS-grad, Married-spouse-absent
177, HS-grad, Never-married
178, HS-grad, Never-married
179, HS-grad, Never-married
180, Bachelors, Married-civ-spouse
181, Some-college, Married-civ-spouse
182, Some-college, Divorced
183, Some-college, Never-married
184, 7th-8th, Married-civ-spouse
185, Some-college, Married-civ-spouse
186, HS-grad, Married-civ-spouse
187, Bachelors, Divorced
188, Bachelors, Divorced
189, Masters, Married-civ-spouse
190, Doctorate, Married-civ-spouse
191, Some-college, Divorced
192, Some-college, Married-civ-spouse
193, Bachelors, Married-civ-spouse
194, Some-college, Married-civ-spouse
195, Bachelors, Married-civ-spouse
196, 5th-6th, Married-civ-spouse
197, Some-college, Divorced
198, Masters, Never-married
199, Masters, Married-civ-spouse
200, HS-grad, Never-married
201, Masters, Never-married
202, HS-grad, Never-married
203, Bachelors, Married-civ-spouse
204, Some-college, Never-married
205, HS-grad, Divorced
206, 11th, Never-married
207, Bachelors, Married-civ-spouse
208, HS-grad, Divorced
209, HS-grad, Married-civ-spouse
210, 11th, Never-married
211, HS-grad, Married-civ-spouse
212, HS-grad, Married-civ-spouse
213, Some-college, Never-married
214, HS-grad, Married-civ-spouse
215, 7th-8th, Married-civ-spouse
216, Bachelors, Never-married
217, Assoc-acdm, Divorced
218, Bachelors, Married-civ-spouse
219, Bachelors, Married-civ-spouse
220, 10th, Never-married
221, Some-college, Married-civ-spouse
222, 1st-4th, Divorced
223, HS-grad, Never-married
224, HS-grad, Married-civ-spouse
225, Preschool, Never-married
226, HS-grad, Never-married
227, 10th, Divorced
228, HS-grad, Married-civ-spouse
229, Assoc-voc, Widowed
230, HS-grad, Divorced
231, 11th, Separated
232, HS-grad, Divorced
233, Some-college, Never-married
234, Some-college, Divorced
235, Prof-school, Never-married
236, HS-grad, Married-civ-spouse
237, Some-college, Never-married
238, Bachelors, Married-civ-spouse
239, Masters, Married-civ-spouse
240, HS-grad, Never-married
241, Bachelors, Married-civ-spouse
242, HS-grad, Married-civ-spouse
243, Assoc-acdm, Married-civ-spouse
244, Some-college, Never-married
245, Some-college, Divorced
246, HS-grad, Married-civ-spouse
247, HS-grad, Married-civ-spouse
248, HS-grad, Never-married
249, Assoc-acdm, Married-civ-spouse
250, HS-grad, Married-civ-spouse
251, Prof-school, Married-civ-spouse
252, Bachelors, Married-civ-spouse
253, 10th, Widowed
254, Some-college, Never-married
255, Some-college, Never-married
256, HS-grad, Married-civ-spouse
257, HS-grad, Never-married
258, HS-grad, Separated
259, Assoc-voc, Widowed
260, 7th-8th, Divorced
261, Bachelors, Divorced
262, HS-grad, Married-civ-spouse
263, 11th, Never-married
264, Some-college, Married-civ-spouse
265, 11th, Married-civ-spouse
266, Some-college, Married-civ-spouse
267, Some-college, Never-married
268, HS-grad, Married-civ-spouse
269, Bachelors, Never-married
270, HS-grad, Married-civ-spouse
271, HS-grad, Married-civ-spouse
272, 9th, Never-married
273, Masters, Married-civ-spouse
274, Masters, Never-married
275, HS-grad, Divorced
276, HS-grad, Married-civ-spouse
277, Some-college, Married-civ-spouse
278, Some-college, Never-married
279, Some-college, Never-married
280, Some-college, Married-civ-spouse
281, Bachelors, Never-married
282, Some-college, Married-civ-spouse
283, Assoc-acdm, Divorced
284, Bachelors, Divorced
285, HS-grad, Never-married
286, Masters, Married-civ-spouse
287, Prof-school, Married-civ-spouse
288, Some-college, Divorced
289, Bachelors, Never-married
290, 7th-8th, Married-civ-spouse
291, Bachelors, Married-civ-spouse
292, HS-grad, Divorced
293, Bachelors, Never-married
294, Some-college, Never-married
295, Bachelors, Never-married
296, HS-grad, Married-civ-spouse
297, Bachelors, Divorced
298, Masters, Married-civ-spouse
299, HS-grad, Never-married
300, HS-grad, Divorced
301, Bachelors, Married-civ-spouse
302, Some-college, Never-married
303, HS-grad, Married-civ-spouse
304, HS-grad, Married-civ-spouse
305, Some-college, Married-civ-spouse
306, HS-grad, Divorced
307, Assoc-acdm, Never-married
308, Assoc-acdm, Never-married
309, Assoc-acdm, Married-civ-spouse
310, Some-college, Married-civ-spouse
311, Bachelors, Never-married
312, Masters, Married-civ-spouse
313, Some-college, Never-married
314, Bachelors, Divorced
315, Some-college, Never-married
316, Some-college, Never-married
317, Some-college, Married-civ-spouse
318, 5th-6th, Married-civ-spouse
319, Some-college, Never-married
320, HS-grad, Widowed
321, HS-grad, Married-civ-spouse
322, Some-college, Married-civ-spouse
323, HS-grad, Divorced
324, 11th, Never-married
325, Masters, Married-civ-spouse
326, HS-grad, Married-civ-spouse
327, Assoc-voc, Never-married
328, Some-college, Married-civ-spouse
329, HS-grad, Married-civ-spouse
330, HS-grad, Never-married
331, Some-college, Never-married
332, Bachelors, Never-married
333, Assoc-voc, Never-married
334, 10th, Married-civ-spouse
335, HS-grad, Married-civ-spouse
336, 5th-6th, Never-married
337, HS-grad, Never-married
338, Masters, Never-married
339, HS-grad, Never-married
340, HS-grad, Married-civ-spouse
341, Assoc-acdm, Never-married
342, Assoc-voc, Married-civ-spouse
343, HS-grad, Married-civ-spouse
344, HS-grad, Never-married
345, Some-college, Never-married
346, Bachelors, Never-married
347, 11th, Married-civ-spouse
348, Assoc-voc, Divorced
349, Assoc-acdm, Married-spouse-absent
350, Bachelors, Never-married
351, Bachelors, Married-civ-spouse
352, HS-grad, Married-civ-spouse
353, Bachelors, Married-civ-spouse
354, 11th, Married-civ-spouse
355, Bachelors, Married-civ-spouse
356, HS-grad, Married-civ-spouse
357, 11th, Widowed
358, Assoc-voc, Married-civ-spouse
359, HS-grad, Married-civ-spouse
360, 9th, Married-civ-spouse
361, 10th, Married-civ-spouse
362, Masters, Married-civ-spouse
363, Bachelors, Married-civ-spouse
364, Bachelors, Divorced
365, HS-grad, Married-spouse-absent
366, HS-grad, Married-civ-spouse
367, Some-college, Married-civ-spouse
368, Assoc-acdm, Never-married
369, Bachelors, Divorced
370, HS-grad, Divorced
371, Some-college, Never-married
372, 11th, Never-married
373, Assoc-voc, Married-civ-spouse
374, HS-grad, Married-civ-spouse
375, HS-grad, Never-married
376, Some-college, Never-married
377, HS-grad, Married-civ-spouse
378, Some-college, Never-married
379, Masters, Divorced
380, HS-grad, Married-civ-spouse
381, HS-grad, Divorced
382, 5th-6th, Divorced
383, Some-college, Married-civ-spouse
384, Some-college, Divorced
385, Some-college, Married-civ-spouse
386, HS-grad, Never-married
387, HS-grad, Separated
388, Some-college, Married-civ-spouse
389, Some-college, Never-married
390, HS-grad, Never-married
391, HS-grad, Married-civ-spouse
392, Bachelors, Never-married
393, Assoc-acdm, Separated
394, Bachelors, Married-civ-spouse
395, HS-grad, Never-married
396, Some-college, Married-civ-spouse
397, Some-college, Divorced
398, HS-grad, Never-married
399, Bachelors, Married-civ-spouse
400, Bachelors, Married-civ-spouse
401, Some-college, Never-married
402, Some-college, Never-married
403, Bachelors, Married-civ-spouse
404, Assoc-voc, Divorced
405, 7th-8th, Married-civ-spouse
406, Masters, Married-civ-spouse
407, HS-grad, Married-civ-spouse
408, HS-grad, Married-civ-spouse
409, Some-college, Married-civ-spouse
410, Some-college, Married-civ-spouse
411, Some-college, Divorced
412, HS-grad, Never-married
413, Some-college, Divorced
414, Doctorate, Married-civ-spouse
415, Some-college, Married-civ-spouse
416, 12th, Divorced
417, 1st-4th, Married-civ-spouse
418, 11th, Never-married
419, 11th, Separated
420, HS-grad, Divorced
421, Some-college, Married-civ-spouse
422, 11th, Never-married
423, Bachelors, Married-civ-spouse
424, HS-grad, Divorced
425, 10th, Never-married
426, HS-grad, Married-civ-spouse
427, Masters, Never-married
428, HS-grad, Never-married
429, HS-grad, Married-civ-spouse
430, Masters, Married-civ-spouse
431, HS-grad, Widowed
432, 11th, Never-married
433, Bachelors, Married-spouse-absent
434, Assoc-acdm, Married-civ-spouse
435, Some-college, Never-married
436, Masters, Married-civ-spouse
437, HS-grad, Never-married
438, Some-college, Never-married
439, Some-college, Married-civ-spouse
440, Some-college, Married-civ-spouse
441, Bachelors, Never-married
442, HS-grad, Divorced
443, HS-grad, Never-married
444, Some-college, Married-civ-spouse
445, 9th, Never-married
446, Some-college, Never-married
447, HS-grad, Widowed
448, HS-grad, Married-civ-spouse
449, HS-grad, Married-civ-spouse
450, 11th, Never-married
451, HS-grad, Never-married
452, Some-college, Married-civ-spouse
453, HS-grad, Married-civ-spouse
454, Assoc-acdm, Married-civ-spouse
455, HS-grad, Married-civ-spouse
456, Assoc-voc, Married-civ-spouse
457, HS-grad, Married-civ-spouse
458, Some-college, Married-civ-spouse
459, HS-grad, Married-civ-spouse
460, Some-college, Married-civ-spouse
461, Assoc-acdm, Never-married
462, HS-grad, Married-civ-spouse
463, Bachelors, Married-civ-spouse
464, 1st-4th, Married-spouse-absent
465, Bachelors, Never-married
466, HS-grad, Married-civ-spouse
467, HS-grad, Divorced
468, Some-college, Married-civ-spouse
469, Masters, Married-civ-spouse
470, Bachelors, Married-civ-spouse
471, Some-college, Never-married
472, Some-college, Never-married
473, HS-grad, Never-married
474, HS-grad, Never-married
475, Assoc-voc, Divorced
476, Bachelors, Never-married
477, 9th, Never-married
478, Some-college, Never-married
479, 10th, Never-married
480, HS-grad, Never-married
481, Assoc-acdm, Married-civ-spouse
482, Some-college, Married-civ-spouse
483, Bachelors, Never-married
484, HS-grad, Married-spouse-absent
485, 12th, Never-married
486, Some-college, Married-spouse-absent
487, 1st-4th, Married-civ-spouse
488, HS-grad, Married-civ-spouse
489, Bachelors, Divorced
490, Bachelors, Married-civ-spouse
491, HS-grad, Never-married
492, HS-grad, Divorced
493, Assoc-acdm, Never-married
494, HS-grad, Divorced
495, Bachelors, Never-married
496, HS-grad, Divorced
497, Some-college, Never-married
498, 5th-6th, Never-married
499, Some-college, Never-married
500, HS-grad, Married-civ-spouse
501, HS-grad, Never-married
502, HS-grad, Married-civ-spouse
503, Some-college, Married-civ-spouse
504, Some-college, Divorced
505, Bachelors, Never-married
506, Bachelors, Never-married
507, Some-college, Never-married
508, Some-college, Married-civ-spouse
509, HS-grad, Separated
510, HS-grad, Divorced
511, Assoc-voc, Married-spouse-absent
512, 5th-6th, Widowed
513, Assoc-voc, Never-married
514, Some-college, Married-civ-spouse
515, HS-grad, Divorced
516, Assoc-voc, Widowed
517, Some-college, Never-married
518, Some-college, Never-married
519, Some-college, Never-married
520, Bachelors, Married-civ-spouse
521, Bachelors, Married-civ-spouse
522, HS-grad, Married-civ-spouse
523, Some-college, Divorced
524, Some-college, Married-civ-spouse
525, Some-college, Divorced
526, Some-college, Married-civ-spouse
527, Bachelors, Married-civ-spouse
528, Some-college, Divorced
529, HS-grad, Married-civ-spouse
530, Masters, Married-civ-spouse
531, 11th, Divorced
532, HS-grad, Never-married
533, HS-grad, Married-civ-spouse
534, Assoc-acdm, Married-civ-spouse
535, Prof-school, Married-civ-spouse
536, 12th, Married-civ-spouse
537, 1st-4th, Widowed
538, Assoc-voc, Separated
539, Bachelors, Never-married
540, HS-grad, Never-married
541, Some-college, Married-civ-spouse
542, Doctorate, Never-married
543, Some-college, Never-married
544, HS-grad, Never-married
545, Some-college, Married-civ-spouse
546, HS-grad, Never-married
547, 10th, Married-civ-spouse
548, Some-college, Married-civ-spouse
549, HS-grad, Never-married
550, Some-college, Never-married
551, Some-college, Divorced
552, HS-grad, Separated
553, 11th, Widowed
554, HS-grad, Married-civ-spouse
555, Assoc-voc, Divorced
556, 11th, Never-married
557, HS-grad, Married-civ-spouse
558, HS-grad, Separated
559, HS-grad, Married-civ-spouse
560, 11th, Married-civ-spouse
561, Bachelors, Never-married
562, Bachelors, Married-civ-spouse
563, Some-college, Married-civ-spouse
564, HS-grad, Never-married
565, Bachelors, Married-civ-spouse
566, HS-grad, Never-married
567, Masters, Married-civ-spouse
568, 7th-8th, Separated
569, HS-grad, Separated
570, Masters, Divorced
571, HS-grad, Never-married
572, HS-grad, Married-civ-spouse
573, 11th, Never-married
574, Assoc-voc, Married-civ-spouse
575, Doctorate, Never-married
576, Bachelors, Married-civ-spouse
577, 12th, Never-married
578, Assoc-acdm, Divorced
579, Bachelors, Never-married
580, Some-college, Married-civ-spouse
581, Some-college, Married-civ-spouse
582, HS-grad, Married-civ-spouse
583, HS-grad, Married-civ-spouse
584, HS-grad, Married-civ-spouse
585, Bachelors, Never-married
586, Some-college, Never-married
587, Some-college, Never-married
588, 11th, Never-married
589, 10th, Married-civ-spouse
590, Bachelors, Divorced
591, HS-grad, Married-civ-spouse
592, HS-grad, Married-civ-spouse
593, 7th-8th, Never-married
594, Bachelors, Married-civ-spouse
595, Bachelors, Never-married
596, HS-grad, Never-married
597, Some-college, Never-married
598, Prof-school, Married-civ-spouse
599, Some-college, Never-married
600, Bachelors, Never-married
601, Bachelors, Never-married
602, Some-college, Never-married
603, 7th-8th, Divorced
604, 9th, Married-civ-spouse
605, Assoc-acdm, Never-married
606, HS-grad, Never-married
607, Masters, Married-civ-spouse
608, HS-grad, Never-married
609, HS-grad, Separated
610, 10th, Never-married
611, Masters, Divorced
612, HS-grad, Never-married
613, HS-grad, Married-civ-spouse
614, Bachelors, Never-married
615, Bachelors, Never-married
616, HS-grad, Never-married
617, HS-grad, Married-civ-spouse
618, HS-grad, Married-civ-spouse
619, Bachelors, Married-civ-spouse
620, Prof-school, Married-civ-spouse
621, Bachelors, Never-married
622, 11th, Widowed
623, 9th, Widowed
624, Assoc-voc, Married-civ-spouse
625, 9th, Married-spouse-absent
626, HS-grad, Never-married
627, HS-grad, Married-civ-spouse
628, HS-grad, Married-civ-spouse
629, Some-college, Married-civ-spouse
630, Bachelors, Married-civ-spouse
631, Some-college, Never-married
632, 10th, Separated
633, Some-college, Married-civ-spouse
634, Bachelors, Married-civ-spouse
635, HS-grad, Married-civ-spouse
636, HS-grad, Never-married
637, Bachelors, Never-married
638, Bachelors, Married-civ-spouse
639, 5th-6th, Married-civ-spouse
640, Doctorate, Married-civ-spouse
641, HS-grad, Divorced
642, HS-grad, Married-civ-spouse
643, Some-college, Never-married
644, Some-college, Married-civ-spouse
645, Some-college, Married-civ-spouse
646, Doctorate, Separated
647, HS-grad, Divorced
648, HS-grad, Married-civ-spouse
649, HS-grad, Married-civ-spouse
650, Bachelors, Married-civ-spouse
651, Some-college, Never-married
652, HS-grad, Never-married
653, Doctorate, Married-civ-spouse
654, Some-college, Separated
655, HS-grad, Never-married
656, Some-college, Never-married
657, 9th, Widowed
658, HS-grad, Married-civ-spouse
659, 7th-8th, Married-civ-spouse
660, HS-grad, Married-civ-spouse
661, 12th, Married-civ-spouse
662, Masters, Never-married
663, Some-college, Never-married
664, Masters, Never-married
665, Some-college, Never-married
666, Assoc-acdm, Divorced
667, Some-college, Married-civ-spouse
668, HS-grad, Married-civ-spouse
669, 11th, Married-spouse-absent
670, 9th, Never-married
671, Some-college, Divorced
672, 11th, Never-married
673, 11th, Never-married
674, Bachelors, Married-civ-spouse
675, HS-grad, Married-civ-spouse
676, HS-grad, Never-married
677, 12th, Never-married
678, Some-college, Married-civ-spouse
679, HS-grad, Never-married
680, HS-grad, Widowed
681, HS-grad, Never-married
682, Assoc-voc, Married-civ-spouse
683, HS-grad, Married-civ-spouse
684, Some-college, Separated
685, 11th, Never-married
686, HS-grad, Divorced
687, 7th-8th, Never-married
688, Bachelors, Married-civ-spouse
689, Masters, Never-married
690, HS-grad, Never-married
691, Some-college, Married-civ-spouse
692, Some-college, Never-married
693, Some-college, Married-civ-spouse
694, Some-college, Never-married
695, Bachelors, Never-married
696, Assoc-acdm, Never-married
697, Masters, Never-married
698, Masters, Married-civ-spouse
699, Bachelors, Never-married
700, HS-grad, Never-married
701, Bachelors, Never-married
702, Bachelors, Widowed
703, Some-college, Never-married
704, Some-college, Married-civ-spouse
705, Doctorate, Divorced
706, Bachelors, Divorced
707, 12th, Married-civ-spouse
708, Some-college, Never-married
709, HS-grad, Married-civ-spouse
710, 11th, Never-married
711, Bachelors, Married-civ-spouse
712, Some-college, Divorced
713, Bachelors, Separated
714, Assoc-voc, Married-civ-spouse
715, Bachelors, Divorced
716, HS-grad, Separated
717, HS-grad, Married-civ-spouse
718, HS-grad, Never-married
719, Some-college, Never-married
720, Bachelors, Married-civ-spouse
721, HS-grad, Never-married
722, HS-grad, Married-civ-spouse
723, Bachelors, Never-married
724, HS-grad, Married-civ-spouse
725, Bachelors, Married-civ-spouse
726, Bachelors, Never-married
727, HS-grad, Married-civ-spouse
728, Some-college, Never-married
729, HS-grad, Married-civ-spouse
730, 11th, Married-civ-spouse
731, Some-college, Never-married
732, Some-college, Divorced
733, Assoc-voc, Married-civ-spouse
734, Assoc-voc, Never-married
735, Some-college, Married-civ-spouse
736, Some-college, Married-civ-spouse
737, Some-college, Never-married
738, Bachelors, Married-civ-spouse
739, HS-grad, Widowed
740, Bachelors, Married-civ-spouse
741, Some-college, Never-married
742, HS-grad, Married-civ-spouse
743, Masters, Never-married
744, Assoc-voc, Never-married
745, 12th, Never-married
746, Bachelors, Married-civ-spouse
747, HS-grad, Married-civ-spouse
748, Some-college, Never-married
749, 11th, Never-married
750, Bachelors, Married-civ-spouse
751, Bachelors, Married-civ-spouse
752, Bachelors, Never-married
753, 10th, Married-civ-spouse
754, HS-grad, Never-married
755, HS-grad, Never-married
756, Assoc-voc, Never-married
757, HS-grad, Married-civ-spouse
758, Bachelors, Never-married
759, HS-grad, Married-civ-spouse
760, HS-grad, Never-married
761, HS-grad, Never-married
762, HS-grad, Married-civ-spouse
763, HS-grad, Divorced
764, Doctorate, Married-civ-spouse
765, Bachelors, Never-married
766, 10th, Separated
767, Some-college, Married-spouse-absent
768, Some-college, Married-civ-spouse
769, Bachelors, Divorced
770, HS-grad, Never-married
771, Some-college, Never-married
772, 5th-6th, Separated
773, HS-grad, Divorced
774, Assoc-voc, Married-civ-spouse
775, HS-grad, Never-married
776, Assoc-voc, Divorced
777, Some-college, Divorced
778, Masters, Married-civ-spouse
779, Bachelors, Married-civ-spouse
780, Some-college, Never-married
781, Some-college, Married-civ-spouse
782, Assoc-voc, Never-married
783, Assoc-voc, Married-civ-spouse
784, Some-college, Married-civ-spouse
785, Bachelors, Never-married
786, Some-college, Divorced
787, HS-grad, Married-civ-spouse
788, 12th, Never-married
789, HS-grad, Married-civ-spouse
790, HS-grad, Never-married
791, Assoc-voc, Married-civ-spouse
792, Bachelors, Married-civ-spouse
793, Some-college, Never-married
794, HS-grad, Never-married
795, HS-grad, Married-civ-spouse
796, Some-college, Never-married
797, HS-grad, Married-civ-spouse
798, HS-grad, Never-married
799, Masters, Never-married
800, Bachelors, Married-civ-spouse
801, Assoc-acdm, Divorced
802, HS-grad, Never-married
803, 11th, Never-married
804, HS-grad, Divorced
805, 11th, Never-married
806, HS-grad, Married-civ-spouse
807, Masters, Married-spouse-absent
808, Bachelors, Married-civ-spouse
809, Bachelors, Married-civ-spouse
810, HS-grad, Never-married
811, HS-grad, Separated
812, Some-college, Never-married
813, Some-college, Divorced
814, Some-college, Never-married
815, 10th, Never-married
816, HS-grad, Married-civ-spouse
817, Assoc-voc, Never-married
818, Some-college, Married-civ-spouse
819, HS-grad, Married-civ-spouse
820, HS-grad, Married-civ-spouse
821, Assoc-voc, Never-married
822, Masters, Never-married
823, Assoc-voc, Never-married
824, HS-grad, Widowed
825, HS-grad, Married-civ-spouse
826, HS-grad, Widowed
827, HS-grad, Widowed
828, HS-grad, Separated
829, Some-college, Never-married
830, Bachelors, Never-married
831, 11th, Married-civ-spouse
832, Some-college, Married-civ-spouse
833, Some-college, Never-married
834, HS-grad, Married-civ-spouse
835, 11th, Widowed
836, HS-grad, Married-civ-spouse
837, HS-grad, Divorced
838, Bachelors, Divorced
839, Bachelors, Never-married
840, HS-grad, Widowed
841, 11th, Never-married
842, Some-college, Married-civ-spouse
843, Some-college, Married-civ-spouse
844, Bachelors, Widowed
845, HS-grad, Married-civ-spouse
846, Some-college, Divorced
847, HS-grad, Divorced
848, Bachelors, Married-civ-spouse
849, Bachelors, Married-civ-spouse
850, HS-grad, Never-married
851, Masters, Widowed
852, Assoc-voc, Divorced
853, HS-grad, Married-civ-spouse
854, Bachelors, Never-married
855, Doctorate, Divorced
856, HS-grad, Never-married
857, HS-grad, Never-married
858, HS-grad, Married-civ-spouse
859, Bachelors, Never-married
860, Bachelors, Never-married
861, 11th, Never-married
862, HS-grad, Married-civ-spouse
863, 11th, Married-civ-spouse
864, Some-college, Married-civ-spouse
865, HS-grad, Married-civ-spouse
866, Some-college, Never-married
867, 10th, Never-married
868, 11th, Never-married
869, Some-college, Married-civ-spouse
870, Bachelors, Separated
871, Bachelors, Married-civ-spouse
872, Some-college, Never-married
873, Masters, Married-civ-spouse
874, Bachelors, Married-civ-spouse
875, 5th-6th, Divorced
876, Bachelors, Married-civ-spouse
877, HS-grad, Never-married
878, Assoc-voc, Divorced
879, HS-grad, Married-civ-spouse
880, HS-grad, Never-married
881, 9th, Divorced
882, Bachelors, Married-civ-spouse
883, HS-grad, Married-civ-spouse
884, Bachelors, Married-civ-spouse
885, Some-college, Married-civ-spouse
886, Some-college, Married-civ-spouse
887, Bachelors, Never-married
888, Some-college, Married-civ-spouse
889, HS-grad, Married-civ-spouse
890, Assoc-voc, Divorced
891, Some-college, Divorced
892, Bachelors, Never-married
893, Assoc-voc, Married-civ-spouse
894, Bachelors, Married-civ-spouse
895, Prof-school, Married-civ-spouse
896, Masters, Married-civ-spouse
897, Some-college, Divorced
898, Bachelors, Never-married
899, Bachelors, Married-civ-spouse
900, HS-grad, Married-civ-spouse
901, 7th-8th, Married-civ-spouse
902, 9th, Married-civ-spouse
903, HS-grad, Never-married
904, Assoc-acdm, Married-civ-spouse
905, HS-grad, Never-married
906, HS-grad, Divorced
907, Some-college, Divorced
908, Bachelors, Never-married
909, HS-grad, Divorced
910, Some-college, Married-civ-spouse
911, HS-grad, Never-married
912, Some-college, Divorced
913, 10th, Married-civ-spouse
914, Some-college, Never-married
915, HS-grad, Never-married
916, Bachelors, Married-civ-spouse
917, Masters, Married-civ-spouse
918, HS-grad, Married-civ-spouse
919, HS-grad, Married-civ-spouse
920, Some-college, Never-married
921, Some-college, Never-married
922, Some-college, Never-married
923, 5th-6th, Married-civ-spouse
924, Some-college, Married-civ-spouse
925, HS-grad, Married-civ-spouse
926, HS-grad, Married-civ-spouse
927, HS-grad, Married-civ-spouse
928, Masters, Married-civ-spouse
929, Some-college, Never-married
930, 1st-4th, Married-spouse-absent
931, HS-grad, Divorced
932, Some-college, Never-married
933, Preschool, Married-civ-spouse
934, HS-grad, Married-civ-spouse
